username,Label,text,date,bot
mediaindonesia,Positif,dinkes lembata siap langkah waspada klaster ptm,12/21/2021,0
mediaindonesia,Negatif,temu klaster ptm,12/21/2021,0
akunovitania,Positif,abis nungu pandemi beres res res ptm kasi anak anak ketingalan ajar bismilah prokes,12/21/2021,0
KompasData,Negatif,pelangaran protokol sehat sat ajar sekolah pemaksan ikut ajar tatap muka hinga intimidasi orangtua murid lapor pelangaran protokol sehat,12/21/2021,0
chaotifc,Negatif,ptm males bngt,12/21/2021,0
daarkbluemoon,Positif,ptm mantep,12/21/2021,0
jjaemraa,Positif,semangat ptm mots,12/21/2021,0
El_Kandhawy,Positif,alhamdulilah anak sekolah sistem ajar tatap muka moga siswa tenaga ajar didik senantiasa lindung alah aza wa jala senantiasa sehat jasmani amp rohani,12/21/2021,0
milkiijellow,Positif,ayah hahahahah pls ayah br kelar mandi kek tumben mandi pagi trs ayah mana trs ayah ptm hahahaha pls anahajana,12/21/2021,0
asaasahiiy,Positif,pagi lgi ptm,12/21/2021,0
famst_,Positif,mental ptm besok tugas catat tumpuk selesai,12/21/2021,0
wwiinjes,Negatif,gw sedih gabisa ptm gr fksin anjrt,12/21/2021,0
jukiiw_,Negatif,mingdep rumor ptm rumah senyum,12/21/2021,0
naicarax,Negatif,bismilag bsk ptm,12/21/2021,0
tradeListhename,Negatif,hlo selamat pagi ptm mls,12/21/2021,0
Muhdaff,Positif,tuju bijak ptm menteri realitanya klaster covid kenyat learning los sd bareng supervisi ketat dr sekolah lembaga kait countermeasure covid,12/21/2021,0
thv120621,Positif,moga ptm lancar,12/21/2021,0
dhhrraa,Negatif,badmod besok ptm mendadakmana besok pts matematika,12/21/2021,0
liputan6dotcom,Positif,buntut bunuh ajar ptm batas sekolah bogor sanksi tundan,12/21/2021,0
ndiievania,Positif,ptm batas sekolah snk disangupi ortu prokes dr sekolah prokes,12/21/2021,0
saturnuscyber,Negatif,ptm jancok,12/21/2021,0
needurbfpftttt,Positif,ptm sumpah anjing bosen sekolah ofline,12/21/2021,0
catatankaqihati,Positif,terap prokes ketat tetap vaksinasi serta didik ptm batas dterapkan sehat prestasi tengah pandemi,12/21/2021,0
furzefirn70989,Positif,dukung ptm batas jalan prokes ketat tni au laku serbu vaksinasi anak usia sekolah diy,12/21/2021,0
CuSedih,Positif,publik klaster ptm doa doa anak anak jabar hak ajar sehat dedi,12/21/2021,0
Elsie77898555,Positif,ptm anak usia mari dukung vaksinasi ajar perintah,12/21/2021,0
LinggarJaya5,Positif,ptm batas laksana siswa didik maksimal,12/21/2021,0
urloafs,Positif,ptm takut,12/21/2021,0
superradioid,Positif,sekolah surabaya gelar ptm,12/21/2021,0
DiahAgustinaWu1,Positif,prokes strategi perintah implementasi ptm strategi protokol sehat ubah perilaku strategi deteksi surveilans,12/21/2021,0
haeszu,Negatif,takut ptm,12/21/2021,0
redberkalteng,Positif,harap ptm lanjut kotim,12/21/2021,0
lixbbys,Negatif,males ptm praktek sekolah takit penganguran,12/21/2021,0
subschfess,Positif,sch ptm lom circle temen online dpt temen blom ptm sender tkt,12/21/2021,0
jaeminaaje,Negatif,alah ptm,12/21/2021,0
jonathansurbak1,Negatif,siswa sekolah positif covid gelar ptm batas,12/21/2021,0
winterfairyLHC,Negatif,besok lusa ptm mager pls,12/21/2021,0
schfess,Positif,sch terima kasih ptm buat teman trivia anak remaja dewasa sat istirahat napas capai nafas,12/21/2021,0
txtdarismavo,Positif,al semangat besok ptm cerita keluh kesah suka duka ptm semangat stres smavo,12/21/2021,0
428O1,Positif,besok ptm neng ulang sksksksk,12/21/2021,0
tasunguu,Positif,neng td ptm aneh nyampe sekolah beda temen,12/21/2021,0
klisin,Negatif,klaster covid sekolah muncul,12/21/2021,0
beritaKLIIKID,Positif,gubernur sumut izin kabupaten kota gelar ptm sekolah,12/21/2021,0
DianRavi,Positif,isu siswa guru konfirmasi positif covid ptm batas fakta data asal satu sekolah verifikasi,12/21/2021,0
stayynew,Negatif,alah males besok ptm,12/21/2021,0
AyuriAndin,Positif,kurang learning los perintah dorong ajar tatap muka ptm batas wilayah pkm level terap prokes ketat kesiap libat,12/21/2021,0
TalangUlu,Positif,giat ptm bukti hasil tangan pandemi,12/21/2021,0
KembuaiU,Positif,herd imunity bentuk lingkung ajar ptm jalan aman,12/21/2021,0
ical_be,Positif,perintah mengenjot cepat vaksinasi ajar giat ptm jalan aman ajar hindar virus corona,12/21/2021,0
GP_Lombok,Positif,program vaksinasi ptm cepat laksana,12/21/2021,0
hedy20lim,Negatif,puan,12/21/2021,0
SMustaj,Positif,vaksinasi disiplin prokes kunci sukses buka ptm vaksin sehat,12/21/2021,0
jaehyunkenjeran,Negatif,sumpah males ptm jam ege,12/21/2021,0
vikakurniawati,Positif,coba teman konsen ptm maklum jaring pertemananya luas anak usia sekolah,12/21/2021,0
rinnaasi,Positif,selamat ptm kawan kawan ku,12/21/2021,0
DianRavi,Positif,perintah metode dg ambil sampling kota kabupaten minimal alokasi sesuai dg sekolah ptm batas camat,12/20/2021,0
convomfs,Positif,woi woi woi lo tau ptm sesi crush gw ahahjahahajajajajajahahaha trade mark trade mark trade mark,12/20/2021,0
ineedduitt,Negatif,anjir anjir bntr ptm anjir,12/20/2021,0
akubaik00,Negatif,ptm jamkos,12/20/2021,0
taehyungvbt5,Positif,haloha ntar maleman gw curhat ptm mingu,12/20/2021,0
rrenjjungf,Negatif,ptm plis sosial takut buly,12/20/2021,0
KiaraDeva,Positif,dukung cepat vaksin guru sekolah tatap muka batas laksana cepat mari dukung ptm vaksin tenaga didik,12/20/2021,0
ewink_tie,Positif,asalamualaikum sejahtera selamat pagi ptm tiga arah pagi,12/20/2021,0
pringadi_as,Positif,tiga isu siswa guru konfirmasi positif covid ptm batas fakta data asal satu sekolah verifikasi,12/20/2021,0
schfess,Negatif,sch ptm dr kemaren semangat zonk temen kenal asik ngomong kdg direspon haha pen nang da temen,12/20/2021,0
arie_sandiblue,Positif,alhamdulilah teteh nadya sekolah ptm semangat th nadya sekolah sekolah mingu,12/20/2021,0
angelayah12,Positif,dukung cepat vaksinasi ptm batas ajar sekolah anak anak kangen sekolah vaksin tenaga didik,12/20/2021,0
RatnoWistu,Negatif,siswa papar covid,12/20/2021,0
GekNiendy,Positif,deteksi level tuju tular masif tutup sekolah sangkut sekolah protokol sehat boleh lanjut ptm batas,12/20/2021,0
blueffiena,Positif,bias ptm daring kaya sepi sedih,12/20/2021,0
_princejaehyun,Positif,ptm,12/20/2021,0
trisulis98,Positif,ambil sampling tiap kota kabupaten minimal persen alokasi sesuai sekolah ptm batas camat,12/20/2021,0
Muslifa_Aseani,Positif,fyi metode ambil sampling kota kabupaten minimal alokasi sesuai sekolah ptm batas camat prokes,12/20/2021,0
marigoldwllw,Positif,asik asik besok uda ptm,12/20/2021,0
KompasTV,Negatif,engak main main,12/20/2021,0
jaeh00lee,Positif,sekolah ku ptm,12/20/2021,0
teabIue,Positif,ptm,12/20/2021,0
AwalMediaN,Positif,gubernur jateng tracing,12/20/2021,0
RiskaNgilan,Positif,siswa anak ikut ptm batas wajib patuh prokes sat ptm anak wajib sarap sat berangkat sekolah,12/20/2021,0
zarstudyy,Positif,ptm today semangat,12/20/2021,0
ceritajogjaku,Positif,tk sleman laksana ajar tatap muka,12/20/2021,0
fnfadhhh,Positif,pagi semangat ptm,12/20/2021,0
FAIRYBLSSOM,Negatif,suka ptm,12/20/2021,0
bitjhxz,Negatif,ptm rasa cape,12/20/2021,0
haechansanur,Positif,semangat ptm,12/20/2021,0
Little_Shovya,Positif,sekolah wajib bentuk satgas covid langsung ptm batas prokes satgas tugas sosialisasi ptm batas kpd sekolah tua siswa berkordinasi puskesmas,12/20/2021,0
Youngbn_,Positif,sunghon nge mc jam brp nton ptm copyright copyright,12/20/2021,0
DiTimur,Negatif,pkm mikro level panjang smp ptm sd online,12/20/2021,0
blzyink,Positif,uda neng kirain ptm tgl trnyta tgl gaoaoa,12/20/2021,0
gcvtae,Positif,akibat ptm skrg gw jdi begadang amp tidur normal,12/20/2021,0
taetheutic,Negatif,ptm shejahrejqw jujurly mls,12/20/2021,0
jcpacaran,Negatif,besok ptm tkut,12/20/2021,0
rayenanta,Positif,baik al pagi pagi dy konsul masker sy dy smgt skali ptm sdgkn sy mager brgkt subuh,12/20/2021,0
tignalarua,Negatif,ptm mules mual,12/20/2021,0
plouvvy,Negatif,ptm takut bngt,12/20/2021,0
erfanologi,Positif,bener peran sukses ptm batas lupa prokes,12/20/2021,0
beutterfliies,Negatif,tatap muka jujur heran sekolah murid guru covid ajar tatap muka,12/20/2021,0
aydeentist,Negatif,males ptm guru ilang ilangan,12/20/2021,0
XLawanPandemiX,Positif,ptm laksana dorong prestasi ajar siswa,12/20/2021,0
wgzii,Negatif,ptm huhu pulang,12/20/2021,0
erfanologi,Positif,minimal perintah tes pcr siswa tenaga didik sekolah rutin ptm prokes,12/20/2021,0
quaintrellehere,Negatif,anjg takut ptm,12/20/2021,0
daicytcies,Negatif,takut ptm takut ketingalan banding takut gagal takut gabisa menuhin ekspektasi,12/20/2021,0
tr33gonometreyy,Negatif,kepala sekolah apan nyudutin orangtua siswa sekolah sosialisasi ptm orangtua siswa ngasih masuk guru video ajar gmet zom rekam pj,12/20/2021,0
ayanapunya,Positif,positivy rate perintah tes angota rombong ajar karantina ptm batas lanjut prokes,12/20/2021,0
apocadoes,Negatif,males ptm anj,12/20/2021,0
setwia,Positif,ptm engak generation los prokes,12/20/2021,0
ical_be,Positif,dukung ptm batas,12/20/2021,0
RayhanTam4,Positif,sekolah penuh syarat jin tuk ptm,12/20/2021,0
hnderyksep,Negatif,bsok ptm gw takut jujur,12/20/2021,0
isti_amira,Positif,tua dukung vaksinasi anak ajar tatap muka vaksin lindung bangsa,12/20/2021,0
ppcrmeaniee,Positif,sie ptm bom ueueue,12/20/2021,0
andiniharsono,Positif,level tular masif tutup sekolah tsb sekolah lanjut ptm batas dg prokes kendor,12/20/2021,0
inidipini,Positif,besok ptm semangat,12/20/2021,0
schfess,Positif,sch semangat sekolah ptm,12/20/2021,0
nusabalicom,Positif,polsek sidemen polsek kubu pantau ptm,12/20/2021,0
IDNNews_id,Positif,dprd batam dukung penuh ajar tatap muka,12/20/2021,0
hanmaiwinder,Negatif,sekolah ofline gilir sekolah ofline sakit dilanjutin ptm,12/20/2021,0
mjnews_id,Negatif,muncul covid purbalinga,12/20/2021,0
mediaindonesia,Positif,vaksinasi masal bin gencar ptm gelar,12/20/2021,0
yeonbiqn,Negatif,males pls bsk ptm,12/20/2021,0
seputarbaliNews,Positif,bupati taban imbau sekolah langar prokes sat ptm,12/20/2021,0
ndkbahari,Positif,pake masker loh kelas luar kelas pelaksanan ptm inget tat prokes jaga prokes ketat sekolah prokes,12/20/2021,0
Norayaki4,Positif,ptm dorong maju prestasi siswa tengah pandemi covid juang jokowi,12/20/2021,0
aaULdewi,Positif,semangat first day ptm,12/20/2021,0
FionazIsza,Positif,moga ptm jalan lancar pandemi,12/20/2021,0
muraroll,Negatif,nyesel ambil ptm,12/20/2021,0
heeseungbraga,Negatif,gw males ptm,12/20/2021,0
yuniarinukti,Positif,sekolah temu positif perintah milik bijak positivity rate bawah papar karantina kontak erat disolasi ptm batas prokes,12/20/2021,0
catatansicucuth,Positif,isu siswa guru covid ptm batas prokes data hayo pandemi panik sedih,12/20/2021,0
schfess,Negatif,sch takut ptm besok dapet temen huhu kelas,12/20/2021,0
wonual,Negatif,besok ptm mls,12/19/2021,0
AraNiagara1,Positif,gw sedih btw salah paham isu sebar covid klaster ptm batas bilang tular klaster ptm batas sampe satu didik data komulatif juli data gaes,12/19/2021,0
Nanakar40686626,Positif,anak anak cepat laksana ptm dukung cepat program vaksinasi didik tenaga didik vaksinasi guru ajar aman vaksin tenaga didik,12/19/2021,0
DianRavi,Positif,klaster ptm batas capai satu didik dlm fakta data komulatif juli insya alah prokes klaster,12/19/2021,0
pepayamanis04,Positif,ajar jarak semangat ajar turun mangkanya ptm batas semangat vaksin tenaga didik,12/19/2021,0
brosure4,Positif,vaksin tenaga didik giat ptm kurang tukar covid cepat vaksinasi guru vaksin tenaga didik,12/19/2021,0
rosseluckyy,Positif,dukung cepat vaksinasi tenaga didik ptm batas jalan lancar moga ptm jalan vaksin tenaga didik,12/19/2021,0
swurspen,Positif,lawan covid ptm aman tenaga didik vaksin vaksin tenaga didik,12/19/2021,0
abinndwaekki,Positif,tau ptm pj kakwokaoak,12/19/2021,0
throxw,Positif,lupa pakai masker ptm cepat vaksinasi guru vaksin tenaga didik,12/19/2021,0
CNNIndonesia,Positif,perintah pantau ptm,12/19/2021,0
archerbowiv,Positif,ptm,12/19/2021,0
hjtaeblue,Positif,seru ptm,12/19/2021,0
CNNIndonesia,Positif,sekolah tingkat sma sulsel gelar ptm batas,12/19/2021,0
rilislampung,Positif,bicara satgas covid kota bandarlampung ahmad nurizki,12/19/2021,0
vanchaads,Positif,nontonin temen ptm iri trade mark,12/19/2021,0
RiskaNgilan,Positif,masyarakat dihimbau khawatir pelaksanan ptm sat prokes,12/19/2021,0
catatansicucuth,Positif,lupa aplikasi peduli lindung sehinga akurasi vaksin ptm batas jalan lancar prokes,12/19/2021,0
Shushushu_a8,Positif,ful ptm kek tpi cape,12/19/2021,0
Jaemnspace,Positif,ptm,12/19/2021,0
excitaev,Negatif,ptm boros anjir jajan,12/19/2021,0
auriyani_afit,Positif,alhamdulilah besok ptm,12/19/2021,0
awpalkon,Negatif,alah besok ptm males,12/19/2021,0
pevanily,Negatif,malas bsk jadwal ptm,12/19/2021,0
PUANnews,Negatif,sekolah ptm paksa sinar harap,12/19/2021,0
AraNiagara1,Positif,so far sekolah boleh ptm batas sekolah level pkm ajar tenaga didik vaksinasi tenang buibu vaksin prokes,12/19/2021,0
Yeni_Setiyawati,Positif,peran tua kalah sukses ptm batas proaktif berkordinasi sekolah keluarga infeksi anak disiplin protokol sehat prokes,12/19/2021,0
MeliEngku,Positif,peran sekolah guru siswa jaga protokol sehat tingi tweps ptm batas laksana jalan lancar prokes,12/19/2021,0
ranneyy_,Positif,ngerjain tugas ipa ptm besok sma ajar matematika paham bener besok coba latsolnya god night nice dream,12/19/2021,0
heeseungiest,Positif,okey tidur bc besok ptm pagi slep wel nice dream mots trade mark,12/19/2021,0
atuyjaksel,Negatif,sy tdx semangat ptm,12/19/2021,0
xclusiveidr,Negatif,elab bsk ptm mls grasak grusuk sndiri buku ilang,12/19/2021,0
sungshineess,Positif,pls someone send help mingu ptm,12/19/2021,0
sincerelyoursss,Positif,sekolah ful zom sampe jam malemnya kerjain tugas bio amp review besok ptm yay god rest mots,12/19/2021,0
mbvacod,Negatif,besok ptm mapel tugas mapel kerjain tagih depan temen,12/19/2021,0
calonmantumamaa,Negatif,bener bener ye karawang coban ajar tatap muka tautau info tawur ajar deket pemda bawa celurit astaga,12/19/2021,0
RiantiDiani,Positif,sekolah madrasah harap ptm stlh tahun ajar daring penting sekolah madrasah dpt terap prokes ketat,12/19/2021,0
Teresa_Capten,Positif,bijak ptm batas sekolah sgt terap prokes ketat sepakat,12/19/2021,0
Galuhsiwi3,Positif,bijak ptm batas sekolah,12/19/2021,0
VioletHouse20,Positif,sekolah paksa ortu anak ptm,12/19/2021,0
TukangS3,Positif,bimbing dlm ikut ptm batas,12/19/2021,0
cruelclaw5531,Positif,tni au laku serbu vaksinasi sasar anak usia sekolah diy dukung ptm jalan,12/19/2021,0
e232eky0soam0,Positif,ptm batas upaya selamat anak anak risiko dampak negatif ajar jarak panjang,12/19/2021,0
Separoh_Kumis,Positif,ptm proses ptm penuh sekolah wajib terap standar prokes guru amp siswa vaksinasi,12/19/2021,0
ibuknya_jaksa,Positif,perintah strategi dlm ptm batas kendali covid kuat protokol sehat ubah perilaku prokes strategi deteksi surveilans,12/19/2021,0
medcom_id,Negatif,temu klaster sekolah,12/19/2021,0
aIetheiia,Positif,hbs ptm gt,12/19/2021,0
yuniarinukti,Positif,metode ambil sampling kota kabupaten minimal sesuai sekolah ptm batas camat prokes ketat lingkup sampling sempit tekan sebar,12/19/2021,0
Kendari_Pos,Netral,ptm tingkat madrasah uji coba,12/19/2021,0
101016z,Positif,hah jir ptm,12/19/2021,0
Rohmahdg,Positif,alhamdulilah tingalku sekolah laku ptm batas perkotan batas ptm alhamdulilah prokes,12/19/2021,0
lialianachan,Positif,jokowi perintah vaksinasi ajar besar dukung ptm vaksin tangkal covid,12/19/2021,0
___721km,Positif,neng xixi ptm dapet kelas fisika lumayan,12/19/2021,0
mineralwoter,Positif,terap protokol sehat baik lengah moga ptm jalan lancar sekolah prokes,12/19/2021,0
xiaography,Positif,gw semangat dengar ptm trade mark,12/19/2021,0
aroceans,Positif,neng ptm,12/19/2021,0
Jaeyunci,Negatif,ptm bosen,12/19/2021,0
snoshinichiro,Negatif,males bsok ptm parah lngsng uh mtk fakyu,12/19/2021,0
lulakece,Positif,ptm jamkos,12/19/2021,0
gyuhoonily,Negatif,knpa hrs ptm,12/19/2021,0
ImaSatrianto,Positif,camat sekolah ptm batas otomatis ambil samplenya strategi perintah cegah klaster ptm batas,12/19/2021,0
bearxsun,Negatif,males ptm hujan trade mark,12/19/2021,0
claveyun,Positif,mending ptm ajasih ptm gapernah dapet pr alias nugasnya seko yaudah,12/19/2021,0
_jangmanwol,Positif,first day ptm alhamdulilah lancar sesi degdegan merinding disko beb ngajar kelas hahaha semangat,12/19/2021,0
FatimahAqila,Positif,ptm batas kolaborasi menteri sehat menteri didik kebudayan riset teknologi sekolah dukung random sampling amp tutup sekolah milik positif rate atas,12/19/2021,0
Bimo_o_o,Negatif,muncul klaster tular covid sekolah,12/19/2021,0
sifaambis,Positif,besok mingdep ptm huhuhuh,12/19/2021,0
santi_imoet007,Positif,strategi lai ptm batas integrasi aplikasi peduli lindung implementasi satu didik hasil statistik level akurasi tingi jadi patok ambil putus,12/19/2021,0
MeliEngku,Positif,orangtua proaktif peran orangtua jalan ptm batas disiplin protokol sehat prokes kasih kendor,12/19/2021,0
younggdae0302,Positif,alhamdulilah sampe ptm trade mark trade mark trade mark,12/19/2021,0
witwonie_,Positif,gasabar ku ptm registered,12/19/2021,0
indozonemedia,Negatif,disdik dki jakarta aku kaget kait temu situs menteri didik kebudayan sebut klaster covid sekolah kelar ptm,12/19/2021,0
MeliEngku,Positif,tunda ptm batas akibat rugi siswa ana konsen ajar adan rumah pribadi nemenin ajar online prokes,12/19/2021,0
OKoerix,Positif,presiden jokowi harap ptm,12/19/2021,0
MetroKoran,Negatif,temu ribu klaster ptm,12/18/2021,0
xiaothingzs,Negatif,males besok ptm pagi,12/18/2021,0
poffertjesh,Negatif,ptm ribet bener anjnk copyright,12/18/2021,0
DitaMayria,Positif,prokes jaga lengah tenaga didik vaksin mari dukung ptm vaksin tenaga didik,12/18/2021,0
picKabbu,Positif,vaksinasi guru cepat anak anak ikut ptm batas anak anak kangen sekolah vaksin tenaga didik,12/18/2021,0
kepwencet,Positif,tuhan mw ptm ngapa ribet copyright,12/18/2021,0
wiradha1,Positif,daerah cakup vaksinasi tempuh cepat sehinga tidk tertingal laksana ajar tatap muka batas sd amp smp serentak gubernur khofifah,12/18/2021,0
Hanifah_Nila,Positif,metode ambil sampling minimal kota kabupaten alokasi sesuai sekolah ptm batas camat,12/18/2021,0
Salamrika1,Positif,tenaga didik vaksin ptm batas jalan lancar prokesnya ketat aman vaksin tenaga didik,12/18/2021,0
Akuraissa1,Positif,moga covid sekolah normal ptm patuh prokes moga ptm jalan vaksin tenaga didik,12/18/2021,0
portalkuduscom,Positif,bupati wakil bupati rembang tinjau pelaksanan ptm sekolah,12/18/2021,0
Ria_Bilqis,Positif,prokes insya alah aman miskonsepsi edar masyarakat kait isu sebar covid klaster ptm batas,12/18/2021,0
IDCorner,Positif,wagub jabar nilai ptm efektif daring,12/18/2021,0
milchanqkyu,Positif,semangat ptm,12/18/2021,0
q99ckity,Negatif,males term ptm semingu ful,12/18/2021,0
Gorajuara,Positif,kota bandung izin sekolah gelar ptm batas,12/18/2021,0
adzjdjbxk,Positif,pj ngadem rumah trs masker guru susa ngeliat papan tulis ptm dengerin guru ngajarnya liat papan tulis gerah bening kipas kipas trs pake masker kelas,12/18/2021,0
nnojaem_,Negatif,malas ptm bsok,12/18/2021,0
kasdvl,Positif,semangat ptm,12/18/2021,0
NoerRahmi6,Positif,vaksinasi ptm jalan aman,12/18/2021,0
manjirmo,Positif,uji semangat ptm semangat,12/18/2021,0
adorashim,Negatif,gaseru bentar lgi ptm,12/18/2021,0
cendananews,Positif,ptm malu,12/18/2021,0
iniintanguys,Positif,ptm iri,12/18/2021,0
jiecams,Negatif,ngaco anjir jadwal ptm,12/18/2021,0
xixiximrxnxi,Negatif,males sekolah ptm,12/18/2021,0
elatedbreathe,Negatif,ih males besok ptm,12/18/2021,0
Official_MNCTV,Negatif,muncul klaster ptm,12/18/2021,0
emmaasmawati2,Positif,laku ptm batas laku strategi deteksi prokes,12/18/2021,0
tribunmedan,Positif,ajar tatap muka batas tingkat sd kelas laksana pekan,12/18/2021,0
Cleanbunny96,Positif,semangat ptm gw,12/18/2021,0
RiskaNgilan,Positif,survei laksana periode januari september sehinga ambar pasca ptm batas prokes,12/18/2021,0
republikaonline,Negatif,pemkot tambah klaster ptm,12/18/2021,0
schfess,Positif,sch pamer ptm,12/18/2021,0
makkeolli,Positif,yey ptm,12/18/2021,0
tempodotco,Negatif,klaster covid sat ptm,12/18/2021,0
PrinceesAinhy,Positif,tua mengijinkan anak ikut ptm batas jin ajar rumah diskriminasi proses hukum putus ajar rumah nerapin home scholing,12/18/2021,0
yangjwniee,Negatif,takut ptm,12/18/2021,0
Tinnkeu,Negatif,alah shock ngango ngango tau tau ptm,12/18/2021,0
swanbegy,Positif,temen ptm sekolah cepetan ptm plis ngerasain kakak kelas kyak gimana,12/18/2021,0
swerbvy,Positif,ptm rwrwrwrwr,12/18/2021,0
kxtyss,Positif,selamat pagi lupa sarap hv nice day daring ptm semanagat,12/18/2021,0
VIVAcoid,Negatif,kabar klaster covid sat ptm jakarta,12/18/2021,0
kalla_jengking,Positif,siswa siswi antusias sambut pelaksanan ptm batas terap ptm prokes ketat sehinga sebar covid gelombang cegah,12/18/2021,0
ManoharaSekar,Positif,serbu vaksinasi tni au diy sasar anak usia sekolah pasuk tiga giat dukung ptm diy vaksinasi covid siswa tingkat kebal tubuh,12/18/2021,0
SAmelia2021,Positif,siap ptm prokes ketat,12/18/2021,0
adelizix,Positif,ptm batas upaya selamat anak anak risiko dampak negatif ajar jarak pj panjang,12/18/2021,0
SemutMe80,Positif,patuh protokol sehat lancar ptm batas,12/18/2021,0
hentpicryl4527,Positif,tni au laku serbu vaksinasi sasar anak usia sekolah diy dukung ptm jalan,12/18/2021,0
AntonWu17,Positif,ptm kalang usia,12/18/2021,0
Antara_Jabar,Positif,vaksinasi ajar sukabumi cepat imbang ptm news jawa barat,12/18/2021,0
roietroi,Positif,semangat ptm,12/18/2021,0
Beritabaruco,Negatif,muncul klaster didik,12/18/2021,0
ringmebells,Positif,copyright today progres sekolah mgebersihin kelas cuz ptm yeay cape huft god rest,12/18/2021,0
utbkfess,Positif,temen temen ptm gimana ajar utbk mingu sender ptm neng campur sedih help sender teguh ptn,12/18/2021,0
voidotid,Positif,ganjar perintah daerah tes acak sekolah kembang ptm sat,12/18/2021,0
schfess,Positif,ptm doain lancar makas ptm salah seragam sch,12/18/2021,0
FatimahAqila,Positif,sekolah bentuk satgas covid berkordinasi puskesmas dekat laksana sosialisasi ptm batas sekolah tua murid,12/18/2021,0
hallo_wulandari,Positif,ptm teliti ajar jarak optimal resiko learning los dampak luar kondisi psikologis,12/18/2021,0
Arkian_Widi,Positif,tunda ptm dampak long term disbenefit rugi jangka siswa generasi anak turun kualitas perintah fokus awas tingkat advanced surveilance dukung program ptm batas prokes,12/18/2021,0
convomf,Negatif,males sekolah ptm,12/18/2021,0
hanbinspace,Negatif,males besok ptm,12/18/2021,0
onyourviii,Negatif,besok ptm mager anjir nyesel gw bilang kangen ofline bwjsbhwhsha,12/18/2021,0
ulijuna,Positif,excited besok ptm bareng anak anak af trade mark,12/18/2021,0
fleurishie,Positif,ptm abiez,12/18/2021,0
indonesiaku_oke,Positif,dukung ptm vaksin aman halal,12/18/2021,0
smilevelized,Positif,pagi pts ptm pj semangat,12/18/2021,0
AraNiagara1,Positif,gw tuju atur deteksi level kecil kesanya adil tular masif tutup sekolah ybs sekolah prokes ptm batas,12/18/2021,0
andiniharsono,Positif,miskonsepsi edar masyarakat kait isu sebar covid klaster ptm batas tular klaster capai satu didik dlm fakta data tsb komulatif juli,12/18/2021,0
andiniharsono,Positif,pcr tes rutin kpd siswa tenaga didik sekolah ptm batas dg prokes awas ketat camat potensi tular epidemilog,12/18/2021,0
misatheing,Positif,wei ptm langsung bye bye pusing mikir matematika ptm jasa jaga jarak sekolah prokes,12/18/2021,0
steyeweii,Positif,ptm matematika jaga jarak sekolah prokes,12/18/2021,0
Ervinadiah4,Positif,neng rumah kaga rame nyuruh adek kelas online moga ptm jalan lancar sekolah prokes,12/18/2021,0
iknouw,Positif,pts ptm oktober anjir pls dibarengin,12/18/2021,0
koran_metro,Positif,kluster covid sekolah muncul,12/18/2021,0
yoitakiguchi,Positif,pgn cepet ptm dh cape rumah bahan lampias,12/18/2021,0
